"","date","province","country","lat","long","type","cases"
"1","2020-01-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"2","2020-01-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"3","2020-01-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"4","2020-01-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"5","2020-01-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"6","2020-01-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"7","2020-01-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"8","2020-01-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"9","2020-01-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"10","2020-01-31","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"11","2020-02-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"12","2020-02-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"13","2020-02-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"14","2020-02-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"15","2020-02-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"16","2020-02-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"17","2020-02-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"18","2020-02-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"19","2020-02-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"20","2020-02-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"21","2020-02-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"22","2020-02-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"23","2020-02-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"24","2020-02-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"25","2020-02-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"26","2020-02-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"27","2020-02-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"28","2020-02-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"29","2020-02-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"30","2020-02-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"31","2020-02-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"32","2020-02-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"33","2020-02-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"34","2020-02-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"35","2020-02-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"36","2020-02-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"37","2020-02-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"38","2020-02-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"39","2020-02-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"40","2020-03-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"41","2020-03-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"42","2020-03-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
